kind,unit,label,method,site,mean_weight,sd_weight,n_edges_on_skeleton,mean_weight_on_skeleton,strength_skeleton,within_module_mean,strength_lioness,sum_tu,river_basin,stream_order,UDF,lat,lon,n_det,mean_log,basin
conc,Danube_Middle,Middle Danube,bonobo,EUS_005,0.152894909470903,0.302474936784532,235,0.716887829097259,183.642339969771,0.717269255162576,207.433569145807,0.05914403996716917,Danube,1.0,0.0,45.951136,14.296199,68,0.366424626264023,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_006,0.18215757419564,0.281500838151755,235,0.725075876229223,185.677394266315,0.718438746434878,211.909744165852,0.006233809390852262,Danube,1.0,,45.952858,14.298592,31,0.012558678699158625,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_007,0.20486458275913,0.282268775906894,235,0.746729393338952,190.716196109147,0.738085257695517,218.960282826969,0.08044640953537814,Danube,2.0,0.5,45.97193,14.313989,18,-0.10014484522046808,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_008,0.207915794096084,0.279027477724862,235,0.740436602720313,189.230183738989,0.733915503522939,203.067170443495,0.08474085104470666,Danube,3.0,0.5,46.117018,14.610843,19,-0.12157700619137961,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_009,0.188289812507342,0.287088560693438,235,0.739799724939741,189.074449158413,0.730413684281824,222.155461898055,0.09219071322471319,Danube,1.0,0.0,46.328569,14.584276,26,-0.035027863672228925,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_010,0.223714686575745,0.278960650576127,235,0.760058771870137,190.054119570903,0.755874135280036,226.124140554441,0.07822175724270176,Danube,2.0,,46.279685,14.614511,7,-0.23556859981149195,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_011,0.217966168441348,0.278910794083693,235,0.754929977727129,191.340774757995,0.749589471191189,221.540571215177,0.0830186088206453,Danube,3.0,0.5,46.114864,14.612,9,-0.205625354342513,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_012,0.204995710075493,0.282280186569269,235,0.737925358352066,188.390007739401,0.731218407572207,206.330138112936,0.08411303017869959,Danube,5.0,5.0,46.075391,14.63705,20,-0.12571345491807653,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_013,0.219812442178117,0.27895147360776,235,0.754633352110378,191.544355583663,0.749082712560496,226.319776651106,0.07911872033920132,Danube,3.0,0.6,45.974343,14.415741,9,-0.2123985637316864,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_164,0.16724082981878,0.299894049624343,235,0.708876299577059,180.880507327808,0.706735264907364,239.170107219177,1.2761637069509406,Danube,6.0,3.1,46.310181,16.397589,88,0.5759704067589402,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_165,0.192621948489163,0.286150989505075,235,0.739774541909101,188.358753048194,0.73166997564359,214.925724496174,0.023908843613667914,Danube,6.0,4.1,45.784996,16.132961,26,-0.08882935648752059,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_166,0.192724481115439,0.277749331566055,235,0.732362579920333,187.19209465474,0.724656710226342,195.37447634178,0.10994465721632789,Danube,4.0,0.4,46.065975,14.623696,28,-0.07009581312194911,Danube
conc,Danube_Middle,Middle Danube,bonobo,EUS_167,0.174065874227926,0.272974766899853,235,0.707791701807973,180.974830690486,0.701760053319888,176.21706099659,0.10844787235426928,Danube,7.0,6.8,47.455269,19.06115,49,0.1155060177148906,Danube
