cmpdname,SMILES
Losartan Carboxylic acid,CCCCc1nc(Cl)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
MCPA,Cc1cc(Cl)ccc1OCC(=O)O
Mebendazole,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
Mecoprop,Cc1cc(Cl)ccc1OC(C)C(=O)O
Mefenamic acid,Cc1cccc(Nc2ccccc2C(=O)O)c1C
Melamine,Nc1nc(N)nc(N)n1
Melatonin,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
Melperon,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1
Memantine,CC12CC3CC(C)(C1)CC(N)(C3)C2
Mepiquat,C[N+]1(C)CCCCC1
Metalaxyl,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC
Metamitron-desamino,Cc1nnc(-c2ccccc2)c(=O)[nH]1
Metazachlor,Cc1cccc(C)c1N(Cn1cccn1)C(=O)CCl
Metazachlor BH479-12,Cc1cccc(C(=O)O)c1N(Cn1cccn1)C(=O)C(=O)O
Metazachlor ESA,Cc1cccc(C)c1N(Cn1cccn1)C(=O)CS(=O)(=O)O
Metazachlor OA,Cc1cccc(C)c1N(Cn1cccn1)C(=O)C(=O)O
Metformin,CN(C)C(=N)N=C(N)N
Methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
Methamphetamine,CN[C@H](C)Cc1ccccc1
Methenamine,C1N2CN3CN1CN(C2)C3
Methimazol,Cn1cc[nH]c1=S
Methiocarb sulfone,CNC(=O)Oc1cc(C)c(S(C)(=O)=O)c(C)c1
Methiocarb-sulfoxide phenol,Cc1cc(O)cc(C)c1S(C)=O
Methocarbamol,COc1ccccc1OCC(O)COC(N)=O
Methomyl,CNC(=O)O/N=C(\C)SC
Methyl diethanolamine,CN(CCO)CCO
Methylchloroisothiazolinone,Cn1sc(Cl)cc1=O
Methyldesphenylchloridazon,Cn1ncc(N)c(Cl)c1=O
Metobromuron,CON(C)C(=O)Nc1ccc(Br)cc1
Metolachlor,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC
Metolachlor CGA 357704,CCc1cccc(C)c1N(C(=O)C(=O)O)[C@@H](C)C(=O)O
Metolachlor CGA 368208,CCc1cccc(C)c1NC(=O)CS(=O)(=O)O
Metolachlor ESA,CCc1cccc(C)c1N(C(=O)CS(=O)(=O)O)C(C)COC
