chemical_name,alt_names,casrn,inchikey,mdl_value_ng_L,n_sources,all_reported_values_ng_L,limit_types_reported,source_files
Enoxolone,,471-53-4,MPDGHEJMBKOTSU-YKLVYJNSSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Enrofloxacin,,93106-60-6,SPFYMRJSYKOXGV-UHFFFAOYSA-N,20.0,2,20.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Ephedrine,,299-42-3,KWGRBVOPPLSCSI-WPRPVWTQSA-N,0.5,2,0.5; 5.1,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Epiandrosterone,,481-29-8,QGXBDMJGAMFCBF-LUJOEAJASA-N,50.0,1,50.0,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Epoxiconazole,,,ZMYFCFLJBGAQRS-UHFFFAOYSA-N,0.7,1,0.7,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected)
Epoxiconazole,,133855-98-8,ZMYFCFLJBGAQRS-IAGOWNOFSA-N,0.7,1,0.7,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Eprosartan,,133040-01-4,OROAFUQRIXKEMV-LDADJPATSA-N,0.5,2,0.5; 0.6,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
epsilon-Caprolactam,,105-60-2,JBKVHLHDHHXQEQ-UHFFFAOYSA-N,0.5,2,0.5; 48.5,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Equilenin,,517-09-9,PDRGHUMCVRDZLQ-WMZOPIPTSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Equilin,,474-86-2,WKRLQDKEXYKHJB-HFTRVMKXSA-N,0.5,2,0.5; 4.8,LOQ; MDL,MZQuant_FRAM_Stenungsund_2020_vRepository_vDRAFT.xlsx; Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Erucamide,,112-84-5,UAUDZVJPLUQNMU-KTKRTIGZSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Erythromycin,,114-07-8,ULGZDMOVFRHVEP-RWJQBGPGSA-N,5.0,1,5.0,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Esfenvalerate,,66230-04-4,NYPJDWWKZLNGGM-RPWUZVMVSA-N,127.5,1,127.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Estriol,,50-27-1,PROQIPRRNZUXQM-ZXXIGWHRSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Estrone,,53-16-7,DNXHEGUUPJUMQT-CBZIJGRNSA-N,0.5,1,0.5,MDL,Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Ethion,,563-12-2,RIZMRRKBZQXFOY-UHFFFAOYSA-N,1.0,2,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
Ethofumesate,,26225-79-6,IRCMYGHHKLLGHV-UHFFFAOYSA-N,1.0,2,1.0,MDL,FFM_Holtemme_LVSPE_final_released220411_V4.xlsx (cleaned_MDL-corrected); Target_ECs_WANA_2018_v4.xlsx (Target_ECs_WANA_2018_v2)
